iter	Passed	Remaining
0	0	935
1	1	880
2	2	878
3	3	922
4	4	899
5	5	890
6	6	910
7	7	921
8	8	918
9	9	910
10	9	897
11	10	888
12	11	885
13	12	873
14	13	866
15	14	863
16	14	856
17	15	848
18	16	841
19	17	834
20	17	830
21	18	827
22	19	827
23	20	823
24	20	817
25	22	824
26	22	821
27	23	817
28	24	812
29	24	807
30	25	805
31	26	802
32	27	800
33	28	795
34	28	791
35	29	787
36	30	782
37	30	777
38	31	773
39	32	770
40	32	768
41	33	766
42	34	763
43	34	758
44	35	754
45	36	750
46	36	748
47	37	744
48	38	741
49	38	738
50	39	734
51	40	730
52	40	727
53	41	724
54	41	720
55	42	717
56	43	713
57	43	710
58	44	707
59	45	705
60	45	703
61	46	703
62	47	701
63	47	699
64	48	698
65	49	696
66	49	695
67	50	693
68	51	691
69	51	689
70	52	687
71	53	684
72	53	682
73	54	679
74	54	677
75	55	675
76	56	673
77	56	670
78	57	668
79	57	666
80	58	664
81	59	662
82	59	657
83	60	655
84	60	654
85	61	652
86	62	651
87	62	650
88	63	649
89	64	651
90	65	651
91	65	649
92	66	648
93	67	647
94	67	646
95	68	644
96	69	642
97	69	641
98	70	639
99	70	638
100	71	636
101	72	635
102	72	633
103	73	631
104	74	631
105	74	629
106	75	628
107	75	626
108	76	625
109	77	624
110	77	622
111	78	622
112	79	621
113	79	620
114	80	620
115	81	618
116	81	617
117	82	616
118	83	615
119	83	614
120	84	613
121	84	611
122	85	610
123	86	609
124	86	608
125	87	607
126	88	605
127	88	604
128	89	603
129	89	602
130	90	600
131	91	599
132	91	598
133	92	596
134	93	596
135	93	595
136	94	594
137	95	593
138	95	593
139	96	592
140	97	591
141	97	589
142	98	588
143	98	587
144	99	586
145	100	585
146	100	584
147	101	583
148	101	582
149	102	581
150	103	580
151	103	579
152	104	578
153	105	577
154	105	576
155	106	575
156	107	574
157	107	573
158	108	573
159	109	572
160	109	570
161	110	570
162	110	569
163	111	568
164	112	567
165	112	566
166	113	565
167	114	564
168	114	563
169	115	562
170	115	561
171	116	560
172	117	560
173	117	559
174	118	558
175	119	557
176	119	556
177	120	555
178	120	554
179	121	553
